ice;1;04:33;05:38;Fr;true
ice;1;05:38;06:54;Fr;true
ice;1;06:31;07:38;Fr;true
ic;1;06:37;08:03;Fr;true
ice;1;07:48;08:54;Fr;true
ice;1;08:31;09:38;Fr;true
ic;1;08:37;10:03;Fr;true
ice;1;09:48;10:54;Fr;true
ice;1;10:31;11:38;Fr;true
ic;1;10:37;12:03;Fr;true
ic;1;11:08;12:19;Fr;true
ice;1;11:48;12:54;Fr;true
ic;1;12:08;13:19;Fr;true
ice;1;12:33;13:39;Fr;true
ic;1;12:37;14:03;Fr;true
ice;1;13:07;14:10;Fr;true
ice;1;13:48;14:54;Fr;true
ic;1;13:58;15:19;Fr;true
ice;1;14:31;15:38;Fr;true
ic;1;14:37;16:03;Fr;true
ic;1;15:07;16:19;Fr;true
ice;1;15:48;16:54;Fr;true
ic;1;15:55;17:19;Fr;true
ice;1;16:31;17:38;Fr;true
ic;1;16:37;18:03;Fr;true
ic;1;17:09;18:19;Fr;true
ice;1;17:48;18:54;Fr;true
ice;1;18:31;19:38;Fr;true
ic;1;18:37;20:03;Fr;true
ice;1;19:48;20:54;Fr;true
ice;1;21:07;22:21;Fr;true
ic;1;23:39;00:50;Fr;true
ice;1;04:33;05:38;Sa;true
ice;1;05:38;06:54;Sa;true
ice;1;06:31;07:38;Sa;true
ic;1;06:37;08:03;Sa;true
ice;1;07:48;08:54;Sa;true
ice;1;08:31;09:38;Sa;true
ic;1;08:37;10:03;Sa;true
ice;1;09:48;10:54;Sa;true
ice;1;10:31;11:38;Sa;true
ic;1;10:37;12:03;Sa;true
ic;1;11:08;12:19;Sa;true
ice;1;11:48;12:54;Sa;true
ic;1;12:08;13:19;Sa;true
ice;1;12:33;13:39;Sa;true
ic;1;12:37;14:03;Sa;true
ice;1;13:07;14:10;Sa;true
ice;1;13:48;14:54;Sa;true
ic;1;13:58;15:19;Sa;true
ice;1;14:31;15:38;Sa;true
ic;1;14:37;16:03;Sa;true
ic;1;15:07;16:19;Sa;true
ice;1;15:48;16:54;Sa;true
ic;1;15:55;17:19;Sa;true
ice;1;16:31;17:38;Sa;true
ic;1;16:37;18:03;Sa;true
ic;1;17:09;18:19;Sa;true
ice;1;17:48;18:54;Sa;true
ice;1;18:31;19:38;Sa;true
ic;1;18:37;20:03;Sa;true
ice;1;19:48;20:54;Sa;true
ice;1;21:07;22:21;Sa;true
ic;1;23:39;00:50;Sa;true
ice;1;04:33;05:38;So;true
ice;1;05:38;06:54;So;true
ice;1;06:31;07:38;So;true
ic;1;06:37;08:03;So;true
ice;1;07:48;08:54;So;true
ice;1;08:31;09:38;So;true
ic;1;08:37;10:03;So;true
ice;1;09:48;10:54;So;true
ice;1;10:31;11:38;So;true
ic;1;10:37;12:03;So;true
ic;1;11:08;12:19;So;true
ice;1;11:48;12:54;So;true
ic;1;12:08;13:19;So;true
ice;1;12:33;13:39;So;true
ic;1;12:37;14:03;So;true
ice;1;13:07;14:10;So;true
ice;1;13:48;14:54;So;true
ic;1;13:58;15:19;So;true
ice;1;14:31;15:38;So;true
ic;1;14:37;16:03;So;true
ic;1;15:07;16:19;So;true
